"SK_CONSTRUTOR","SK_PILOTO","SK_GRANDE_PREMIO","SK_DATA","SK_STATUS","POSICAO_TREINO","POSICAO_GP","PTS_PILOTO"
7,7,18,786,5,14,"7",2
8,8,18,786,5,14,"8",1
9,9,18,786,4,14,"\N",0
10,10,18,786,3,14,"\N",0
11,11,18,786,7,14,"\N",0
6,12,18,786,8,14,"\N",0
2,13,18,786,5,14,"\N",0
1,14,18,786,4,14,"\N",0
7,15,18,786,10,14,"\N",0
9,16,18,786,9,14,"\N",0
4,17,18,786,4,14,"\N",0
11,18,18,786,4,14,"\N",0
10,19,18,786,4,14,"\N",0
3,20,18,786,4,14,"\N",0
8,21,18,786,4,14,"\N",0
5,22,18,786,2,14,"\N",0
1,1,18,786,1,15,"1",10
2,2,18,786,1,15,"2",8
3,3,18,786,1,15,"3",6
4,4,18,786,1,15,"4",5
5,5,18,786,1,15,"5",4
6,6,18,786,11,15,"6",3
7,7,18,786,5,15,"7",2
8,8,18,786,5,15,"8",1
9,9,18,786,4,15,"\N",0
10,10,18,786,3,15,"\N",0
11,11,18,786,7,15,"\N",0
6,12,18,786,8,15,"\N",0
2,13,18,786,5,15,"\N",0
1,14,18,786,4,15,"\N",0
7,15,18,786,10,15,"\N",0
9,16,18,786,9,15,"\N",0
4,17,18,786,4,15,"\N",0
11,18,18,786,4,15,"\N",0
10,19,18,786,4,15,"\N",0
3,20,18,786,4,15,"\N",0
8,21,18,786,4,15,"\N",0
5,22,18,786,2,15,"\N",0
1,1,18,786,1,16,"1",10
2,2,18,786,1,16,"2",8
3,3,18,786,1,16,"3",6
4,4,18,786,1,16,"4",5
5,5,18,786,1,16,"5",4
6,6,18,786,11,16,"6",3
7,7,18,786,5,16,"7",2
8,8,18,786,5,16,"8",1
9,9,18,786,4,16,"\N",0
10,10,18,786,3,16,"\N",0
11,11,18,786,7,16,"\N",0
6,12,18,786,8,16,"\N",0
2,13,18,786,5,16,"\N",0
1,14,18,786,4,16,"\N",0
7,15,18,786,10,16,"\N",0
9,16,18,786,9,16,"\N",0
4,17,18,786,4,16,"\N",0
11,18,18,786,4,16,"\N",0
10,19,18,786,4,16,"\N",0
3,20,18,786,4,16,"\N",0
8,21,18,786,4,16,"\N",0
5,22,18,786,2,16,"\N",0
1,1,18,786,1,17,"1",10
2,2,18,786,1,17,"2",8
3,3,18,786,1,17,"3",6
4,4,18,786,1,17,"4",5
5,5,18,786,1,17,"5",4
6,6,18,786,11,17,"6",3
7,7,18,786,5,17,"7",2
8,8,18,786,5,17,"8",1
9,9,18,786,4,17,"\N",0
10,10,18,786,3,17,"\N",0
11,11,18,786,7,17,"\N",0
6,12,18,786,8,17,"\N",0
2,13,18,786,5,17,"\N",0
1,14,18,786,4,17,"\N",0
7,15,18,786,10,17,"\N",0
9,16,18,786,9,17,"\N",0
4,17,18,786,4,17,"\N",0
11,18,18,786,4,17,"\N",0
10,19,18,786,4,17,"\N",0
3,20,18,786,4,17,"\N",0
8,21,18,786,4,17,"\N",0
5,22,18,786,2,17,"\N",0
1,1,18,786,1,18,"1",10
2,2,18,786,1,18,"2",8
3,3,18,786,1,18,"3",6
4,4,18,786,1,18,"4",5
5,5,18,786,1,18,"5",4
6,6,18,786,11,18,"6",3
7,7,18,786,5,18,"7",2
8,8,18,786,5,18,"8",1
9,9,18,786,4,18,"\N",0
