"ID_CLASSIFICACAO_PILOTOS","ID_RESULTADOS","ID_PILOTO","PONTOS_PILOTO","POSICAO_PILOTO","VITORIAS_PILOTO"
57784,14303,246,0,16,0
57783,14304,182,4,6,0
57782,14305,253,0,11,0
57781,14306,238,0,21,0
57780,14307,200,0,20,0
57779,14308,231,6,4,0
57778,14309,221,0,19,0
57777,14310,172,0,18,0
57776,14311,237,0,17,0
57775,14312,187,0,15,0
57774,14313,252,0,14,0
57773,14314,251,0,13,0
57772,14315,230,0,12,0
57771,14316,223,1,9,0
57770,14317,207,2,7,0
57769,14318,224,6,5,0
57768,14319,199,13,1,1
57767,14320,250,6,3,0
57766,14321,222,9,2,1
57812,14322,257,0,25,0
57811,14323,233,0,24,0
57810,14324,239,0,17,0
57809,14325,256,0,18,0
57808,14326,255,2,8,0
57807,14327,254,1,13,0
57806,14328,246,0,16,0
57805,14329,182,13,3,1
57804,14330,253,0,15,0
57803,14331,238,0,23,0
57802,14332,200,2,10,0
57801,14333,231,9,4,0
57800,14334,221,4,7,0
57799,14335,172,0,22,0
57798,14336,237,0,21,0
57797,14337,187,1,12,0
57796,14338,252,0,20,0
57795,14339,251,0,19,0
57794,14340,230,0,14,0
57793,14341,223,1,11,0
57792,14342,207,2,9,0
57791,14343,224,6,6,0
57790,14344,199,13,2,1
57789,14345,250,6,5,0
57788,14346,222,15,1,1
57840,14347,178,0,27,0
57839,14348,205,0,18,0
57838,14349,197,1,14,0
57837,14350,257,0,28,0
57836,14351,233,0,26,0
57835,14352,239,0,20,0
57834,14353,256,0,21,0
57833,14354,255,2,9,0
57832,14355,254,1,13,0
57831,14356,246,0,19,0
57830,14357,182,19,1,1
57829,14358,253,0,16,0
57828,14359,238,0,25,0
57827,14360,200,2,10,0
57826,14361,231,9,5,0
57825,14362,221,7,7,0
57824,14363,172,0,17,0
57823,14364,237,0,24,0
57822,14365,187,1,12,0
57821,14366,252,0,23,0
57820,14367,251,0,22,0
57819,14368,230,0,15,0
57818,14369,223,1,11,0
57817,14370,207,11,4,1
57816,14371,224,8,6,0
57815,14372,199,13,3,1
57814,14373,250,6,8,0
57813,14374,222,19,2,1
57875,14375,260,0,35,0
57874,14376,259,0,34,0
57873,14377,232,0,33,0
57872,14378,229,0,31,0
57871,14379,211,0,30,0
57870,14380,208,0,25,0
57869,14381,258,0,24,0
57868,14382,178,0,29,0
57867,14383,205,0,22,0
57866,14384,197,1,15,0
57865,14385,257,0,32,0
57864,14386,233,1,13,0
57863,14387,239,0,21,0
57862,14388,256,0,26,0
57861,14389,255,4,10,0
57860,14390,254,1,14,0
57859,14391,246,0,20,0
57858,14392,182,19,4,1
57857,14393,253,0,18,0
57856,14394,238,0,19,0
57855,14395,200,5,9,0
57854,14396,231,9,5,0
57853,14397,221,7,7,0
57852,14398,172,0,17,0
57851,14399,237,0,28,0
57850,14400,187,1,12,0
57849,14401,252,0,27,0
57848,14402,251,0,23,0
57847,14403,230,0,16,0
57846,14404,223,1,11,0
57845,14405,207,20,2,2
57844,14406,224,8,6,0
57843,14407,199,19,3,1
57842,14408,250,6,8,0
57841,14409,222,23,1,1
57912,14410,235,0,25,0
57911,14411,119,0,22,0
57910,14412,260,0,37,0
57909,14413,259,0,36,0
57908,14414,232,0,35,0
57907,14415,229,0,33,0
57906,14416,211,0,27,0
57905,14417,208,0,29,0
57904,14418,258,0,28,0
57903,14419,178,1,15,0
57902,14420,205,0,24,0
57901,14421,197,1,12,0
57900,14422,257,0,34,0
57899,14423,233,1,14,0
57898,14424,239,0,23,0
57897,14425,256,0,30,0
57896,14426,255,4,10,0
57895,14427,254,1,16,0
57894,14428,246,0,21,0
57893,14429,182,25,2,1
57892,14430,253,0,19,0
57891,14431,238,0,20,0
57890,14432,200,8,7,0
57889,14433,231,9,5,0
57888,14434,221,7,8,0
57887,14435,172,0,18,0
57886,14436,237,0,32,0
57885,14437,187,1,13,0
57884,14438,252,0,31,0
57883,14439,251,0,26,0
57882,14440,230,0,17,0
57881,14441,223,1,11,0
57880,14442,207,22,4,2
57879,14443,224,8,6,0
57878,14444,199,23,3,1
57877,14445,250,6,9,0
