"ID_RESULTADO_CONSTRUTORES","ID_RESULTADOS","ID_CONSTRUTOR","PONTOS_RESULTADO_CONSTRUTOR"
352,352,5,8
353,353,11,4
354,354,2,2
355,355,9,1
356,356,4,0
357,357,3,0
358,358,7,0
359,359,8,0
360,360,12,0
361,361,6,18
362,362,1,8
363,363,3,5
364,364,2,7
365,365,7,1
366,366,9,0
367,367,8,0
368,368,5,0
369,369,12,0
370,370,11,0
371,371,4,0
372,372,4,10
373,373,6,8
374,374,1,10
375,375,11,5
376,376,3,5
377,377,9,1
378,378,5,0
379,379,2,0
380,380,7,0
381,381,13,0
382,382,8,0
383,383,4,18
384,384,11,6
385,385,1,5
386,386,6,7
387,387,2,2
388,388,7,1
389,389,5,0
390,390,13,0
391,391,8,0
392,392,9,0
393,393,3,0
394,394,4,14
395,395,1,8
396,396,7,6
397,397,2,8
398,398,11,2
399,399,9,1
400,400,5,0
401,401,13,0
402,402,8,0
403,403,6,0
404,404,3,0
405,405,6,15
406,406,4,9
407,407,1,10
408,408,3,3
409,409,11,2
410,410,7,0
411,411,2,0
412,412,5,0
413,413,13,0
414,414,9,0
415,415,8,0
416,416,6,16
417,417,4,11
418,418,1,5
419,419,11,4
420,420,3,2
421,421,2,1
422,422,7,0
423,423,5,0
424,424,13,0
425,425,8,0
426,426,9,0
427,427,4,16
428,428,6,13
429,429,1,4
430,430,11,5
431,431,2,1
432,432,3,0
433,433,7,0
434,434,9,0
435,435,5,0
436,436,13,0
437,437,8,0
438,438,4,13
439,439,1,8
440,440,9,6
441,441,11,5
442,442,6,4
443,443,2,2
444,444,7,1
445,445,5,0
446,446,13,0
447,447,8,0
448,448,3,0
449,449,4,15
450,450,6,12
451,451,1,9
452,452,2,3
453,453,3,0
454,454,11,0
455,455,7,0
456,456,9,0
457,457,5,0
458,458,13,0
459,459,8,0
460,460,4,15
461,461,6,12
462,462,1,6
463,463,7,3
464,464,2,2
465,465,9,1
466,466,11,0
467,467,5,0
468,468,3,0
469,469,13,0
